채널,유형,국가,브랜드,본사 거래처 리스트,법인 거래처 리스트
VITA,벤더,노르웨이,"BIODANCE, Isntree, celimax",K-Beauty Norge AS (https://app.notion.com/p/K-Beauty-Norge-AS-3b63226ccd5b8136a5b4f515c26b0325?pvs=21),
Walmart,벤더,캐나다,COSRX,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),
MINISO,벤더,호주,"ARENCIA, TOCOBO",KRIJATHOR IMPORTS PTY LTD (https://app.notion.com/p/KRIJATHOR-IMPORTS-PTY-LTD-3b63226ccd5b8131bcd6d436c011ff3d?pvs=21),
Healthy Planet,벤더,캐나다,medicube,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),
DM,벤더,크로아티아,"Anua, BIODANCE, BOJ, COSRX, Purito, Round Lab",Rondomondo (https://app.notion.com/p/Rondomondo-3bc3226ccd5b80729366c2b85293090d?pvs=21),
DM,벤더,보스니아 헤르체고비나,"Anua, BIODANCE, BOJ, COSRX, MARY & MAY, Round Lab",Rondomondo (https://app.notion.com/p/Rondomondo-3bc3226ccd5b80729366c2b85293090d?pvs=21),
DM,벤더,슬로베니아,"BIODANCE, BOJ, COSRX, Round Lab",Rondomondo (https://app.notion.com/p/Rondomondo-3bc3226ccd5b80729366c2b85293090d?pvs=21),
MEDS,벤더,스웨덴,KSECRET,PRIORITIZE & MAXIMIZE SWEDEN AB (https://app.notion.com/p/PRIORITIZE-MAXIMIZE-SWEDEN-AB-3bc3226ccd5b8082b0f2c874f0f273a3?pvs=21),
Chemist Warehouse,벤더,뉴질랜드,"ARENCIA, TOCOBO, medicube",TGD GLOBAL DISTRIBUTION TRADING L.L.C (https://app.notion.com/p/TGD-GLOBAL-DISTRIBUTION-TRADING-L-L-C-3b63226ccd5b816fb3fce0a607809daa?pvs=21),
Selfridges,벤더,영국,"BIODANCE, Beauty of Joseon, medicube",Luneia (https://app.notion.com/p/Luneia-3bc3226ccd5b80d28d6be0ef0bb5f7b2?pvs=21),
Very,벤더,영국,medicube,Luneia (https://app.notion.com/p/Luneia-3bc3226ccd5b80d28d6be0ef0bb5f7b2?pvs=21),
Samaritaine,벤더,프랑스,FWEE,Samaritaine (https://app.notion.com/p/Samaritaine-3bc3226ccd5b80a7b054c7923d8107f4?pvs=21),
"P&C - PERFUMES & COMPANHIA,",벤더,포르투갈,"ARENCIA, Anua, BIODANCE, Beauty of Joseon, COSRX, Dr.Althea, KSECRET, Mediheal, Round Lab, SKIN1004, TOCOBO, VT Cosmetics, medicube",P&C Beauty Limited (https://app.notion.com/p/P-C-Beauty-Limited-3b63226ccd5b811c8b36f41a625da5d7?pvs=21),
DM Slovakia,벤더,슬로바키아,,Beautex (https://app.notion.com/p/Beautex-3bc3226ccd5b8046ae07f74523e6d2b3?pvs=21),
Shoppers Drug Mart,벤더,캐나다,"BIODANCE, Dr.Althea, MIXSOON",EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),
Holt Renfrew,벤더,캐나다,"BIODANCE, Dr.Althea, medicube",EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),
Galleria Supermarket,벤더,캐나다,Dr.Althea,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),
kiokii and…,벤더,캐나다,Dr.Althea,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),
Primor,벤더,"스페인, 포르투갈","Anua, BIODANCE, Beauty of Joseon, Purito, Round Lab, TOCOBO",Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
El Corte Ingles,벤더,스페인,"Anua, BIODANCE, Beauty of Joseon, TOCOBO",Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
Medi Market,벤더,스페인,Beauty of Joseon,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
DIA (Clarel),벤더,스페인,"AXIS-Y, Abib, Beauty of Joseon, DR ALTHEA, NUMBUZIN, Purito, celimax",Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
Druni,벤더,"스페인, 포르투갈","Anua, BIODANCE, COSRX, DR ALTHEA, TOCOBO",Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
Primaprix,벤더,"스페인, 포르투갈, 프랑스","COSRX, NUMBUZIN",Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
Primor,벤더,"스페인, 포르투갈, 프랑스","AXIS-Y, DR ALTHEA, NUMBUZIN, celimax",Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
Julia Perfumeria,벤더,"스페인, 안도라","BIODANCE, DR ALTHEA",Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
DIA,벤더,스페인,BIODANCE,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),
DM drogerie,벤더,체코,"AXIS-Y, Anua, BIODANCE, Beauty of Joseon, COSRX, NOVINKY 2026, PURITO SEOUL, SOME BY MI, VT Cosmetics, medicube",dalora s.r.o. (https://app.notion.com/p/dalora-s-r-o-3b63226ccd5b8113ba28d5684402e914?pvs=21),
Rossman,벤더,헝가리,"BIODANCE, COSRX, Medicube (EU), NUMBUZIN, Nature Republic, PURITO SEOUL, Purito, medicube",SigmaConto Ltd (https://app.notion.com/p/SigmaConto-Ltd-3b63226ccd5b817c937cc77d51658b1a?pvs=21),
DM,벤더,세르비아,KSECRET,TRIBECA DOO (https://app.notion.com/p/TRIBECA-DOO-3b63226ccd5b81d58572f744b8499086?pvs=21),
Beauty privee,벤더,프랑스,"ARENCIA, AXIS-Y, Anua, BIODANCE, Beauty of Joseon, COSRX, Dr.Althea, EDGE U, FWEE, HEIMISH, Haruharu Wonder, Isntree, Jumiso, KSECRET, MARY&MAY, MIXSOON, NUMBUZIN, PURITO SEOUL, Pyunkang Yul, Round Lab, SKIN1004, SOMEBYMI, TOCOBO, Tirtir, VT Cosmetics, celimax, iUnik, medicube",Beauty privee (https://app.notion.com/p/Beauty-privee-3bc3226ccd5b80d6800dd61b59772c70?pvs=21),
Showroom privee,벤더,프랑스,"ARENCIA, AXIS-Y, BIODANCE, COSRX, Dr.Althea, Isntree, KSECRET, MIXSOON, Nature Republic, VT Cosmetics, celimax, medicube",VEEPEE (https://app.notion.com/p/VEEPEE-3bc3226ccd5b807891b0d346a5845e77?pvs=21),
,,,,,
