채널,국가,법인 거래처 리스트,본사 거래처 리스트,브랜드,유형
Selfridges,영국,,Luneia (https://app.notion.com/p/Luneia-3bc3226ccd5b80d28d6be0ef0bb5f7b2?pvs=21),"BIODANCE, Beauty of Joseon, medicube",벤더
Very,영국,,Luneia (https://app.notion.com/p/Luneia-3bc3226ccd5b80d28d6be0ef0bb5f7b2?pvs=21),medicube,벤더
Samaritaine,프랑스,,Samaritaine (https://app.notion.com/p/Samaritaine-3bc3226ccd5b80a7b054c7923d8107f4?pvs=21),FWEE,벤더
"P&C - PERFUMES & COMPANHIA,",포르투갈,,P&C Beauty Limited (https://app.notion.com/p/P-C-Beauty-Limited-3b63226ccd5b811c8b36f41a625da5d7?pvs=21),"ARENCIA, Anua, BIODANCE, Beauty of Joseon, COSRX, Dr.Althea, KSECRET, Mediheal, Round Lab, SKIN1004, TOCOBO, VT Cosmetics, medicube",벤더
DM Slovakia,슬로바키아,,Beautex (https://app.notion.com/p/Beautex-3bc3226ccd5b8046ae07f74523e6d2b3?pvs=21),,벤더
Shoppers Drug Mart,캐나다,,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),"BIODANCE, Dr.Althea, MIXSOON",벤더
Holt Renfrew,캐나다,,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),"BIODANCE, Dr.Althea, medicube",벤더
Galleria Supermarket,캐나다,,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),Dr.Althea,벤더
kiokii and…,캐나다,,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),Dr.Althea,벤더
Primor,"스페인, 포르투갈",,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),"Anua, BIODANCE, Beauty of Joseon, Purito, Round Lab, TOCOBO",벤더
El Corte Ingles,스페인,,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),"Anua, BIODANCE, Beauty of Joseon, TOCOBO",벤더
Medi Market,스페인,,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),Beauty of Joseon,벤더
DIA (Clarel),스페인,,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),"AXIS-Y, Abib, Beauty of Joseon, DR ALTHEA, NUMBUZIN, Purito, celimax",벤더
Druni,"스페인, 포르투갈",,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),"Anua, BIODANCE, COSRX, DR ALTHEA, TOCOBO",벤더
Primaprix,"스페인, 포르투갈, 프랑스",,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),"COSRX, NUMBUZIN",벤더
Primor,"스페인, 포르투갈, 프랑스",,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),"AXIS-Y, DR ALTHEA, NUMBUZIN, celimax",벤더
Julia Perfumeria,"스페인, 안도라",,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),"BIODANCE, DR ALTHEA",벤더
DIA,스페인,,Tradegate to Europe S.L. (https://app.notion.com/p/Tradegate-to-Europe-S-L-3b63226ccd5b81a19dfcef9f5324a9c5?pvs=21),BIODANCE,벤더
DM drogerie,체코,,dalora s.r.o. (https://app.notion.com/p/dalora-s-r-o-3b63226ccd5b8113ba28d5684402e914?pvs=21),"AXIS-Y, Anua, BIODANCE, Beauty of Joseon, COSRX, NOVINKY 2026, PURITO SEOUL, SOME BY MI, VT Cosmetics, medicube",벤더
Rossman,헝가리,,SigmaConto Ltd (https://app.notion.com/p/SigmaConto-Ltd-3b63226ccd5b817c937cc77d51658b1a?pvs=21),"BIODANCE, COSRX, Medicube (EU), NUMBUZIN, Nature Republic, PURITO SEOUL, Purito, medicube",벤더
DM,세르비아,,TRIBECA DOO (https://app.notion.com/p/TRIBECA-DOO-3b63226ccd5b81d58572f744b8499086?pvs=21),KSECRET,벤더
Beauty privee,프랑스,,Beauty privee (https://app.notion.com/p/Beauty-privee-3bc3226ccd5b80d6800dd61b59772c70?pvs=21),"ARENCIA, AXIS-Y, Anua, BIODANCE, Beauty of Joseon, COSRX, Dr.Althea, EDGE U, FWEE, HEIMISH, Haruharu Wonder, Isntree, Jumiso, KSECRET, MARY&MAY, MIXSOON, NUMBUZIN, PURITO SEOUL, Pyunkang Yul, Round Lab, SKIN1004, SOMEBYMI, TOCOBO, Tirtir, VT Cosmetics, celimax, iUnik, medicube",벤더
Showroom privee,프랑스,,VEEPEE (https://app.notion.com/p/VEEPEE-3bc3226ccd5b807891b0d346a5845e77?pvs=21),"ARENCIA, AXIS-Y, BIODANCE, COSRX, Dr.Althea, Isntree, KSECRET, MIXSOON, Nature Republic, VT Cosmetics, celimax, medicube",벤더
,,,,,
